stock,Brood.Year,X0.1,X0.2,X0.3,X0.4,X0.5,X1.1,X1.2,X1.3,X1.4,X1.5,X2.1,X2.2,X2.3,X2.4,X3.1,X3.2,X3.3,X3.4,Escapement,Recruits,R.S
Alagnak,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
Alagnak,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,8.97383959825892e-10,0,NA,NA,NA
Alagnak,1957,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,13499.3987865245,0,NA,8.98101120497911e-10,1.56490725357031e-6,0,NA,NA,NA
Alagnak,1958,NA,NA,NA,0,0,NA,NA,13119.730112112,0,0,NA,20219.1620337071,8577.2970628815,0,0,2.31742454758138e-7,6.47274821769902e-9,0,NA,NA,NA
Alagnak,1959,NA,NA,0,0,0,NA,331299.990064692,338122.232404937,6.47274930884811e-9,0,5.94688772462506e-10,286853.65940287,50738.8937718332,1.83384461668993e-9,0,772.798921727466,1312.32118843721,0,NA,NA,NA
Alagnak,1960,NA,0,0,0,0,0,121361.342761154,116448.344108643,1.83384461668993e-9,0,8.07157218338651e-6,166914.93864006,43428.8941591372,0,0,1.83393131750121e-9,1.07349935010011e-9,0,NA,NA,NA
Alagnak,1961,0,1.39744342537255e-4,727.073816454792,0,0,4468.51853051731,50293.2450260829,232930.743783171,1.07023568731815e-9,0,6.47276373336896e-9,6138.95631741,1.07349935010011e-9,8.08803322833379e-10,0,1.0750117076603e-9,8.0897378321529e-10,0,NA,NA,NA
Alagnak,1962,0,0,1.83263578030635e-9,0,0,11965.3139715437,110266.243567286,104885.029508684,8.08803322833379e-10,0,0,1626.32571067297,22573.0166335278,0,0,812.611298777955,2.15680963519131e-9,0,NA,NA,NA
Alagnak,1963,0,0,1.07349935010011e-9,0,0,0,231001.909353708,151684.161192015,2.15710687255908e-9,0,415.023382200934,30953.023329648,819.210986777643,0,0,2.15687948322496e-9,4.55315929170495e-9,0,203304,414873.328244359,2.04065502028666
Alagnak,1964,0,0,8.0897378321529e-10,0,0,6377.29762212629,97650.4215483889,90731.091836029,0,0,1880.28152504957,112243.297590412,73017.5129050708,0,0,4.55459520191294e-9,1.65843912761874e-9,0,248700,381899.903027084,1.5355846523003
Alagnak,1965,0,0,0,0,0,8480.04184744772,110322.958582639,88347.8488845848,5497.06030308381,0,509.92968359188,29040.2718764478,17530.7969367517,9.71791819301795e-10,0,1.65841552878805e-9,6.49105091037515e-10,0,175020,259728.90811455,1.48399558973003
Alagnak,1966,0,2.15687948322496e-9,4.55315929170495e-9,1.65856275304339e-9,0,9662.46648980595,304544.093668233,229247.6170294,9.71791819301795e-10,0,0,13317.4626320725,8812.22642033874,0,0,6.49787373867388e-10,4.46313522383945e-10,0,174336,565583.866239861,3.24421729441917
Alagnak,1967,0,0,461.169500360227,1.29572242564562e-9,0,5829.7840867585,260360.126735236,52163.0660470705,3.34789470951019e-10,0,2325.1893646584,59199.567021546,9009.8650701927,0,0,4.46309930385454e-10,0,0,202626,389348.767825824,1.92151435563957
Alagnak,1968,0,410.639439228765,6.49105091037515e-10,0,0,8143.46251247989,182414.447683053,52504.168379925,2129.56933443022,0,0,685.373335848824,2904.42524298189,2.47913391508326e-9,0,9.26288403843821e-10,2.47916549875804e-9,0,193872,249192.085927954,1.2853433498801
Alagnak,1969,0,0,5.57891903016334e-10,0,0,7.0852196840766e-9,1353.56258474515,54756.5338009252,0,0,0,108529.167421717,15545.3603760262,1.02686710825617e-9,0,2.47915481636527e-9,1.02731764771877e-9,0,182490,180184.624183425,0.98736711153173
Alagnak,1970,0,0,0,0,0,4.46384640164427e-10,78027.4800440757,58491.2016343907,0,0,9.26187812321765e-10,8320.09275050936,802.980124938575,0,0,1.02790324739472e-9,6.41146356095629e-9,0,177060,145641.754553923,0.822555938969407
Alagnak,1971,0,0,0,0,0,1232.55460274746,28837.9158028944,56203.8034880226,0,0,0,30123.1698122469,207343.173211308,1.01039812050492e-7,0,6.41137435373797e-9,1011.86820311078,0,187302,324752.485120437,1.73384419344394
Alagnak,1972,0,0,1.02731764771877e-9,0,0,1462.13105593817,70319.7172587099,27572.1609527256,1.49688610441306e-8,0,1.0263018204556e-9,2.97670952157567e-8,2.13645956369201e-7,0,0,24813.5473463369,7.59686092322609e-9,0,151188,124167.556613979,0.821279179656974
Alagnak,1973,0,1.02790324739472e-9,6.86942524348745e-9,3098.54886380714,0,0,2.10659443090841e-8,6686.6405200102,1377.89295868572,0,0,350599.519763644,3.79843046161305e-8,0,0,67511.8612755955,83665.2652804554,0,35280,512939.728662265,14.5391079552796
Alagnak,1974,0,6.41137435373797e-9,1910.67000745713,0,0,0,722581.359778921,2.8488228459525e-8,1866.97784643386,0,6.38785807830887e-8,1551297.18495049,0.212863893700389,0,0,0.139271382524344,13252.0724555749,0,214848,2290908.61717425,10.6629273587571
Alagnak,1975,0,0,0,0,0,0,8.16422606991052e-8,467274.994785132,0,0,3.22550071716767e-8,0.0242000187400006,492798.395639225,2.29133900654207e-8,62200.6104823183,8.341391733827e-9,0,0,100480,1022274.02510684,10.1739055046461
Alagnak,1976,0,2.46825439341932e-8,77257.4712808192,0,0,3.79470672674585e-8,0.0130203502526552,157897.417413923,2.20647459856215e-8,0,1.46139377608859,1.89349592362714e-6,94648.7997569247,14903.464468783,0,0,6.6720748779757e-9,0,81822,344708.627336561,4.21290884281197
Alagnak,1977,0,0.01001323529726,3286.81206641765,0,0,163393.681931834,2.87778014771251e-7,689174.639419491,3.5584400418184e-8,0,0,2.63081103636135e-8,145046.234689796,0,0,6.67207546296614e-9,1757.74207219621,0,108910.5,1002659.12019333,9.20626679882404
Alagnak,1978,0,0,8.48641765811234e-9,0,0,0,561752.380683031,1026219.17470876,15371.0608474303,0,0,512955.087149749,2.14151240254241e-8,16536.7817638935,0,42749.6853914668,3.9922516109325e-9,0,584970,2175584.17054436,3.71913802510277
Alagnak,1979,0,0,1044.81687113527,6.42586024190429e-9,0,0,947783.062132826,81154.7648968063,14173.2301858467,0,16623.3375478586,1047576.63469065,1.06792730594515e-6,131.885017661589,0,6.01991608356505e-9,0,0,750210,2108487.73134386,2.81053002671767
Alagnak,1980,0,0,4639.55552324307,0,0,0,1.71255923882087e-8,368591.127036937,2.0224626220516e-8,0,5.1303709269791e-8,269864.31356015,5.43051268172854e-8,5.29329126553748e-9,0,5.32327088431775e-9,0,0,759645,643094.996120484,0.846573065208727
Alagnak,1981,0,0,3.9922516109325e-9,0,0,0,174414.656177659,1008291.54835751,9.26325971332706e-9,0,4.34331103477996e-7,1.59698126539881e-8,1.13997439818948e-7,4.60680458332264e-9,0,6.76175316998446e-9,5.79339107235709e-9,0,209635.5,1182706.20453576,5.64172673299972
Alagnak,1982,0,0,6006.84824174571,3.9699684488804e-9,0,9.26298562014215e-8,3.30042794883352e-8,767481.154956002,4.60680458332264e-9,9.16630787476008e-9,0,2.29899607776359e-8,2.43322425082375e-8,2.20318046294116e-8,0,5.82092430050286e-9,7.58248689665636e-9,0,610215,773488.003197974,1.26756635480605
Alagnak,1983,0,0,12695.2072989357,4.60680458332264e-9,0,6508.42670520188,3.11040645777601e-8,434065.17230692,9.79191316691768e-9,0,0,8.1492940204979e-8,1247.1611182917,7.82003286453921e-9,0,7.61123725830531e-9,2088.28545450842,0,245361,456604.252884,1.86094877704281
Alagnak,1984,0,560.95682528005,6532.22667584921,1631.85443605151,0,4.21669355077725e-8,403722.288022385,1250869.72502813,25116.4765357587,0,1.18251687032876e-7,4.31303444672068e-8,772146.242668685,4441.2484289395,2.32183667772561e-8,3.11160486710496e-8,2925.86805650053,0,549193.5,2467946.88667784,4.49376565213871
Alagnak,1985,1.96779032380369e-8,5.82092430050286e-9,39050.5991434939,0,0,6814.9115635197,86570.4268066248,792074.181830565,1.64782411877803e-8,0,2.90229584732625e-8,1.1314926788431e-8,720017.363924799,1.17603250647661e-8,0,8.29806429587195e-9,865.221898779114,0,300976.5,1645392.70516788,5.46684776109724
Alagnak,1986,0,1.0148316343717e-8,4.05342155850314e-8,2446.31050429707,0,1.97356117547953e-7,9.33481460050034e-8,954824.079690286,1.71700745897551e-7,0,3.99422731880819e-8,1.34843544838847e-7,1066241.36924701,2.40913341313303e-8,0,4.75304043837204e-9,8799.42654397623,0,586959,2032311.18598628,3.46244147544596
Alagnak,1987,0,2.54585852711053e-8,2.25345876880538e-8,4.70413002379177e-9,0,1.33140910640605e-8,2.69687089578247e-8,394531.994668672,1.07072596161112e-8,0,3.48685556190173e-8,1.18826011011931e-8,374484.406268351,1.65058878646665e-8,0,1392.63062415989,8.24404238147485e-9,0,393235.5,770409.031561358,1.95915432752475
